Time,Website,StatusCode,ResponseTime(ms),Result,ErrorMessage
"2025-10-24 09:40:19","https://httpstat.us/500",-1,0,"DOWN","I/O Error: Unexpected end of file from server"
"2025-10-24 09:40:19","ftp://speedtest.tele2.net",-1,0,"DOWN","Unknown Error: class sun.net.www.protocol.ftp.FtpURLConnection cannot be cast to class java.net.HttpURLConnection (sun.net.www.protocol.ftp.FtpURLConnection and java.net.HttpURLConnection are in module java.base of loader 'bootstrap')"
"2025-10-24 09:40:19","https://httpstat.us/505",-1,0,"DOWN","I/O Error: Unexpected end of file from server"
"2025-10-24 09:40:22","https://10.255.255.1",-1,0,"DOWN","Timeout Error: Connect timed out"
"2025-10-24 09:40:24","http://example.com:81",-1,0,"DOWN","Timeout Error: Connect timed out"
"2025-10-24 09:41:17","https://www.abcdefgxyz1234.com",-1,0,"DOWN","DNS Error: www.abcdefgxyz1234.com"
"2025-10-24 09:41:17","https://www.vnexpress.net",200,189,"UP",""
"2025-10-24 09:41:17","https://www.google.com",200,291,"UP",""
"2025-10-24 09:41:18","https://expired.badssl.com/",-1,0,"DOWN","SSL Error: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed"
"2025-10-24 09:41:19","https://httpstat.us/404",-1,0,"DOWN","I/O Error: Unexpected end of file from server"
"2025-10-24 09:41:22","https://10.255.255.1",-1,0,"DOWN","Timeout Error: Connect timed out"
"2025-10-24 09:41:24","https://httpstat.us/505",-1,0,"DOWN","I/O Error: Unexpected end of file from server"
"2025-10-24 09:41:24","https://httpstat.us/500",-1,0,"DOWN","I/O Error: Unexpected end of file from server"
"2025-10-24 09:41:27","ftp://speedtest.tele2.net",-1,0,"DOWN","Unknown Error: class sun.net.www.protocol.ftp.FtpURLConnection cannot be cast to class java.net.HttpURLConnection (sun.net.www.protocol.ftp.FtpURLConnection and java.net.HttpURLConnection are in module java.base of loader 'bootstrap')"
"2025-10-24 09:41:28","http://example.com:81",-1,0,"DOWN","Timeout Error: Connect timed out"
